name,nameascii,adm0name,adm0_a3,scalerank,natscale,labelrank,featurecla,pop_max,pop_min,longitude,latitude,pixel_x,pixel_y,pixel_x_int,pixel_y_int,centered_x,centered_y,centered_x_int,centered_y_int,region_id,population_weight,network_weight,security_weight,financial_weight,cultural_weight,government_weight
Ürümqi,Urumqi,China,CHN,1,300,1,Admin-1 capital,3575000,1508225,87.5730598,43.8069581,3716.29249722222,558.236693055556,3716,558,1216.29249722222,-441.763306944445,1216,-442,china,1.67,8.5,9,8,5.08,8.6
Zhangzhou,Zhangzhou,China,CHN,7,20,1,Populated place,3531147,1338452,117.6700162,24.5203754,4134.30578055556,826.105897222222,4134,826,1634.30578055556,-173.894102777778,1634,-174,china,1.66,8.5,9,8,5.08,8.6
Changchun,Changchun,China,CHN,2,200,1,Admin-1 capital,3183000,2537421,125.3380415,43.8669544,4240.80613194445,557.403411111111,4241,557,1740.80613194445,-442.596588888889,1741,-443,china,1.57,8.5,9,8,5.04,8.6
Dalian,Dalian,China,CHN,4,50,1,Populated place,3167000,2035307,121.627885,38.9247843,4189.27618055556,626.0446625,4189,626,1689.27618055556,-373.9553375,1689,-374,china,1.56,8.5,9,8,5.03,8.6
Zibo,Zibo,China,CHN,2,200,1,Populated place,3061000,669770,117.996459575714,36.8213645764804,4138.83971632937,655.258825326662,4139,655,1638.83971632937,-344.741174673338,1639,-345,china,1.53,8.5,9,8,5.01,8.6
Hangzhou,Hangzhou,China,CHN,2,200,1,Admin-1 capital,3007000,1878129,120.1680728,30.2519198,4169.00101111111,746.501113888889,4169,747,1669.00101111111,-253.498886111111,1669,-253,china,1.52,8.5,9,8,5.01,8.6
Kunming,Kunming,China,CHN,2,200,1,Admin-1 capital,2931000,1023674,102.697439772287,25.0428590731049,3926.35333017066,818.84917954021,3926,819,1426.35333017066,-181.15082045979,1426,-181,china,1.5,8.5,9,8,5,8.6
Taiyuan,Taiyuan,China,CHN,2,200,1,Admin-1 capital,2913000,2722475,112.5431119,37.8769583,4063.09877638889,640.597801388889,4063,641,1563.09877638889,-359.402198611111,1563,-359,china,1.5,8.5,9,8,5,8.6
Qingdao,Qingdao,China,CHN,4,50,1,Populated place,2866000,1642245,120.3280631,36.0919251,4171.22309861111,665.389929166667,4171,665,1671.22309861111,-334.610070833333,1671,-335,china,1.48,8.5,9,8,4.99,8.6
Jinan,Jinan,China,CHN,2,200,1,Admin-1 capital,2798000,2069266,116.9930728,36.6769282,4124.90378888889,657.264886111111,4125,657,1624.90378888889,-342.735113888889,1625,-343,china,1.47,8.5,9,8,4.99,8.6
Zhengzhou,Zhengzhou,China,CHN,2,200,1,Admin-1 capital,2636000,2014125,113.6631469,34.756942,4078.65481805556,683.931361111111,4079,684,1578.65481805556,-316.068638888889,1579,-316,china,1.42,8.5,9,8,4.96,8.6
Fuzhou,Fuzhou,China,CHN,2,200,1,Admin-1 capital,2606000,1179720,119.2981001,26.0819418,4156.91805694444,804.417475,4157,804,1656.91805694444,-195.582525,1657,-196,china,1.42,8.5,9,8,4.96,8.6
Changsha,Changsha,China,CHN,2,200,1,Admin-1 capital,2604000,2073938,112.9680472,28.2019158,4069.00065555556,774.973391666667,4069,775,1569.00065555556,-225.026608333333,1569,-225,china,1.42,8.5,9,8,4.96,8.6
Xiangtan,Xiangtan,China,CHN,7,20,1,Populated place,2586948,1779960,112.9000232,27.8504305,4068.05587777778,779.855131944445,4068,780,1568.05587777778,-220.144868055556,1568,-220,china,1.41,8.5,9,8,4.96,8.6
Lanzhou,Lanzhou,China,CHN,2,200,1,Admin-1 capital,2561000,2004218,103.7900544,36.0579737,3941.52853333333,665.861476388889,3942,666,1441.52853333333,-334.138523611111,1442,-334,china,1.41,8.5,9,8,4.96,8.6
Xiamen,Xiamen,China,CHN,4,50,1,Populated place,2519000,578337,118.0780712,24.4519379,4139.97321111111,827.056418055556,4140,827,1639.97321111111,-172.943581944445,1640,-173,china,1.39,8.5,9,8,4.95,8.6
