name,country_source,longitude,latitude,pixel_x,pixel_y,pixel_x_int,pixel_y_int,centered_x,centered_y,source,source_line
Butare,Ruanda,29.733333,-2.583333,2912.96,1202.55,2913,1203,412.96,202.55,TeX Live pst-geo cities.data,181
Butte,"USA, MT",-112.533333,46.0,937.04,527.78,937,528,-1562.96,-472.22,TeX Live pst-geo cities.data,182
Cagayan De Oro,Philippinen,124.666667,8.483333,4231.48,1048.84,4231,1049,1731.48,48.84,TeX Live pst-geo cities.data,183
Calcutta,Indien,88.366667,22.533333,3727.31,853.7,3727,854,1227.31,-146.3,TeX Live pst-geo cities.data,184
Calgary,Kanada,-114.083333,51.05,915.51,457.64,916,458,-1584.49,-542.36,TeX Live pst-geo cities.data,185
Cali,Kolumbien,-76.516667,3.45,1437.27,1118.75,1437,1119,-1062.73,118.75,TeX Live pst-geo cities.data,186
Callao,Peru,-77.133333,-12.083333,1428.7,1334.49,1429,1334,-1071.3,334.49,TeX Live pst-geo cities.data,187
Caloocan,Philippinen,120.966667,14.633333,4180.09,963.43,4180,963,1680.09,-36.57,TeX Live pst-geo cities.data,188
Cam Ranh,Vietnam,109.233333,11.9,4017.13,1001.39,4017,1001,1517.13,1.39,TeX Live pst-geo cities.data,189
Camaguey,Kuba,-77.916667,21.416667,1417.82,869.21,1418,869,-1082.18,-130.79,TeX Live pst-geo cities.data,190
Camden,"USA, NJ",-75.116667,39.95,1456.71,611.81,1457,612,-1043.29,-388.19,TeX Live pst-geo cities.data,191
Canberra,Australien,149.166667,-35.333333,4571.76,1657.41,4572,1657,2071.76,657.41,TeX Live pst-geo cities.data,192
Canton,"USA, OH",-81.383333,40.8,1369.68,600.0,1370,600,-1130.32,-400.0,TeX Live pst-geo cities.data,193
Cap-Haitien,Haiti,-72.283333,19.783333,1496.06,891.9,1496,892,-1003.94,-108.1,TeX Live pst-geo cities.data,194
Caracas,Venezuela,-66.916667,10.5,1570.6,1020.83,1571,1021,-929.4,20.83,TeX Live pst-geo cities.data,195
Cardiff,Wales,-3.166667,51.483333,2456.02,451.62,2456,452,-43.98,-548.38,TeX Live pst-geo cities.data,196
Cartagena,Kolumbien,-75.55,10.4,1450.69,1022.22,1451,1022,-1049.31,22.22,TeX Live pst-geo cities.data,197
Casablanca,Marokko,-7.616667,33.6,2394.21,700.0,2394,700,-105.79,-300.0,TeX Live pst-geo cities.data,198
Casper,"USA, WY",-106.316667,42.85,1023.38,571.53,1023,572,-1476.62,-428.47,TeX Live pst-geo cities.data,199
Castries,St. Lucia,-60.983333,14.016667,1653.01,971.99,1653,972,-846.99,-28.01,TeX Live pst-geo cities.data,200
Catania,Italien,15.066667,37.516667,2709.26,645.6,2709,646,209.26,-354.4,TeX Live pst-geo cities.data,201
Cayenne,Französisch-Guayana,-52.333333,4.933333,1773.15,1098.15,1773,1098,-726.85,98.15,TeX Live pst-geo cities.data,202
Cebu,Philippinen,123.933333,10.283333,4221.3,1023.84,4221,1024,1721.3,23.84,TeX Live pst-geo cities.data,203
Cedar Rapids,"USA, IA",-91.666667,41.966667,1226.85,583.8,1227,584,-1273.15,-416.2,TeX Live pst-geo cities.data,204
Champaign,"USA, IL",-88.25,40.116667,1274.31,609.49,1274,609,-1225.69,-390.51,TeX Live pst-geo cities.data,205
Chania,Griechenland,24.016667,35.516667,2833.56,673.38,2834,673,333.56,-326.62,TeX Live pst-geo cities.data,206
Charkow,Sowjetunion,36.25,50.0,3003.47,472.22,3003,472,503.47,-527.78,TeX Live pst-geo cities.data,207
Charleroi,Belgien,4.45,50.416667,2561.81,466.44,2562,466,61.81,-533.56,TeX Live pst-geo cities.data,208
Charleston,"USA, SC",-79.933333,32.783333,1389.81,711.34,1390,711,-1110.19,-288.66,TeX Live pst-geo cities.data,209
Charleston,"USA, WV",-81.633333,38.35,1366.2,634.03,1366,634,-1133.8,-365.97,TeX Live pst-geo cities.data,210
Charlotte,"USA, NC",-80.85,35.216667,1377.08,677.55,1377,678,-1122.92,-322.45,TeX Live pst-geo cities.data,211
Charlottesville,"USA, VA",-78.5,38.033333,1409.72,638.43,1410,638,-1090.28,-361.57,TeX Live pst-geo cities.data,212
Chattanooga,"USA, TN",-85.316667,35.05,1315.05,679.86,1315,680,-1184.95,-320.14,TeX Live pst-geo cities.data,213
Chemnitz,Deutschland,12.916667,50.833333,2679.4,460.65,2679,461,179.4,-539.35,TeX Live pst-geo cities.data,214
Chengdu,China,104.1,30.616667,3945.83,741.44,3946,741,1445.83,-258.56,TeX Live pst-geo cities.data,215
Cheyenne,"USA, WY",-104.816667,41.133333,1044.21,595.37,1044,595,-1455.79,-404.63,TeX Live pst-geo cities.data,216
Chiang Mai,Thailand,98.983333,18.8,3874.77,905.56,3875,906,1374.77,-94.44,TeX Live pst-geo cities.data,217
Chiayi,Taiwan,120.183333,23.15,4169.21,845.14,4169,845,1669.21,-154.86,TeX Live pst-geo cities.data,218
